drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
AT7519,-0.0646441433608114,0.2819056718422055,21002.115234375,279,-0.0253307696633368,0.673554051824694,20929.09375,279,0.03931337369747459,
JNJ-28312141,-0.0571836041012705,0.3412769396887504,24535.123046875,279,0.1471288273762824,0.013897415497108,24459.185546875,279,0.2043124314775529,
Quizartinib (AC220),0.1044903166134886,0.0820144495558034,24716.1875,278,0.1815924555809703,0.0023703503630156,24637.91015625,278,0.0771021389674817,
GW-2580,-0.0366124241040815,0.5439835441614347,47117.30859375,277,0.1424689531407669,0.0176658501907048,47005.3359375,277,0.1790813772448484,
NVP-ADW742,0.176200671434346,0.0032572379736821,48728.78125,277,0.1695505319973929,0.004660067406994,48614.83203125,277,-0.006650139436953112,
Elesclomol,-0.1251615288517726,0.0391288879950242,6821.27099609375,272,-0.201532072627924,0.0008293497752417,6789.25732421875,272,-0.0763705437761514,
GDC-0941,-0.0532255819771295,0.384565097578379,27222.86328125,269,-0.006427296049115,0.9164347841274978,27139.482421875,269,0.0467982859280145,
Ibrutinib (PCI-32765),-0.0313995095738108,0.6177303603804477,45335.671875,255,0.1955028166215138,0.0017073453585928,45226.609375,255,0.2269023261953246,
ABT-737,0.0285711236364311,0.6643883842159792,37521.46484375,233,0.0007978466678188,0.9903353769126364,37423.64453125,233,-0.027773276968612298,
DBZ,0.1307938583209441,0.0635431126451981,54489.265625,202,-0.0105139787216342,0.881941499385563,54368.8828125,202,-0.1413078370425783,
Vemurafenib (PLX-4032),0.1511824223064596,0.0326029478295002,64061.62890625,200,0.1819971663945636,0.009900846106008,63929.921875,200,0.030814744088104,
Venetoclax,0.0956695094004164,0.1939631891923238,31336.783203125,186,0.0679486946377849,0.3567815783209703,31251.69921875,186,-0.027720814762631496,BCL2_inhibitor
JQ1,-0.2135719218630841,0.0036033149682459,20712.048828125,184,-0.1600061258908368,0.0300344406643242,20640.318359375,184,0.05356579597224731,
Volasertib (BI-6727),-0.1273157972808295,0.0858895073621623,26263.69921875,183,-0.0981122617323332,0.1863900768718704,26180.814453125,183,0.029203535548496307,
Lenvatinib,-0.1809518220052842,0.0147789887887155,32028.375,181,0.1665345309369018,0.0250493562589882,31937.373046875,181,0.347486352942186,
Bay 11-7085,0.0517133474086474,0.489330154440158,61681.42578125,181,0.0701104472024279,0.3483166693675922,61552.81640625,181,0.0183970997937805,
Nutlin 3a,-0.0066612140421237,0.93212133607888,66792.9765625,166,0.153382389583184,0.0485010780957757,66658.25,166,0.1600436036253077,
Entospletinib (GS-9973),0.0605061831266892,0.4590020154620646,38408.31640625,152,0.2340084167661914,0.003712232329368,38308.28125,152,0.1735022336395022,
Palbociclib,0.1608755765340266,0.066411900937593,56909.59375,131,0.2417771016139185,0.0054001021910695,56785.80859375,131,0.0809015250798919,CDK_inhibitor
Panobinostat,-0.3409280141015789,8.217361312394768e-05,15124.560546875,128,-0.1006101617347752,0.258485638942217,15071.4052734375,128,0.2403178523668037,HDAC_inhibitor
Gilteritinib (ASP-2215),0.1340027420835926,0.1533583828965955,23879.84375,115,0.1819164592148957,0.0516795485311039,23803.365234375,115,0.047913717131303074,
BI-2536,-0.2258161216626095,0.0199385577950592,28562.087890625,106,0.0811152592454635,0.4084672795234456,28476.009765625,106,0.30693138090807304,
Lovastatin,-0.0109444758684477,0.9126298548050644,55130.94140625,103,0.0493654620267992,0.6204642902460884,55010.296875,103,0.0603099378952469,
SR9011,0.0121855769801367,0.9027680879613468,63524.06640625,103,-0.0222262507325324,0.8236550553793824,63393.42578125,103,-0.034411827712669096,
Lenalidomide,0.183811145987022,0.0671553719641832,60064.765625,100,0.1574940895490192,0.1176008486500079,59938.96875,100,-0.026317056438002806,IMiD
Staurosporine,-0.1292419453747818,0.2356287052906818,41429.9765625,86,-0.0791561707046089,0.4687831210490288,41327.328125,86,0.05008577467017292,
PLX-4720,-0.16906390463162,0.1219185286292183,53005.98828125,85,0.0734331333564766,0.5041984425383722,52886.41015625,85,0.24249703798809658,
TG101348,-0.0570714915410771,0.6083160070480292,26635.099609375,83,0.0497050859663244,0.6554214748773283,26551.55078125,83,0.1067765775074015,
Go6976,0.0361025985475001,0.7459169554437975,38014.703125,83,0.1231922084190701,0.2671946687390364,37915.203125,83,0.08708960987157,
Tandutinib (MLN518),-0.0764453477868112,0.4975763554432298,42654.30078125,81,0.1773075273154805,0.1132984734525873,42548.48828125,81,0.2537528751022917,
Lestaurtinib (CEP-701),-0.0451945616502578,0.6905756862405212,31511.16796875,80,0.0636208068812135,0.5750331695805966,31421.1875,80,0.10881536853147131,
Selinexor,-0.0595774349453756,0.6091895600124472,17856.494140625,76,0.0397413463153011,0.7332166511310932,17792.578125,76,0.0993187812606767,XPO1_inhibitor
Entrectinib,-0.0075091959075179,0.9570222869061028,33861.3828125,54,0.0684594713193005,0.6228050613846559,33767.4453125,54,0.0759686672268184,
