feature_gene,uniprot_id,tier,source,has_esm2_embedding
TIMELESS,Q9UNS1,1,HGNC_symbol,False
TIMM10,P62072,1,HGNC_symbol,True
TIMM10B,Q9Y5J6,1,HGNC_symbol,False
TIMM13,Q9Y5L4,1,HGNC_symbol,True
TIMM17A,Q99595,1,HGNC_symbol,True
TIMM17B,O60830,1,HGNC_symbol,True
TIMM21,Q9BVV7,1,HGNC_symbol,True
TIMM22,Q9Y584,1,HGNC_symbol,False
TIMM23,O14925,1,HGNC_symbol,False
TIMM23B,Q5SRD1,1,HGNC_symbol,False
TIMM29,Q9BSF4,1,HGNC_symbol,True
TIMM44,O43615,1,HGNC_symbol,True
TIMM50,Q3ZCQ8,1,HGNC_symbol,False
TIMM8A,O60220,1,HGNC_symbol,False
TIMM8B,Q9Y5J9,1,HGNC_symbol,False
TIMM8BP2,,0,unmapped,False
TIMM9,Q9Y5J7,1,HGNC_symbol,True
TIMMDC1,Q9NPL8,1,HGNC_symbol,True
TIMP1,P01033,1,HGNC_symbol,True
TIMP2,P16035,1,HGNC_symbol,False
TIMP3,P35625,1,HGNC_symbol,True
TIMP4,Q99727,1,HGNC_symbol,False
TINAG,Q9UJW2,1,HGNC_symbol,True
TINAGL1,Q9GZM7,1,HGNC_symbol,False
TINCR,A0A2R8Y7D0,1,HGNC_symbol,False
TINF2,Q9BSI4,1,HGNC_symbol,False
TIPARP,Q7Z3E1,1,HGNC_symbol,True
TIPARP-AS1,,0,unmapped,False
TIPIN,Q9BVW5,1,HGNC_symbol,True
TIPRL,O75663,1,HGNC_symbol,False
TIRAP,P58753,1,HGNC_symbol,False
TJAP1,Q5JTD0,1,HGNC_symbol,True
TJP1,Q07157,1,HGNC_symbol,False
TJP2,Q9UDY2,1,HGNC_symbol,False
TJP3,O95049,1,HGNC_symbol,True
TK1,P04183,1,HGNC_symbol,False
TK2,O00142,1,HGNC_symbol,False
TKFC,Q3LXA3,1,HGNC_symbol,False
TKT,P29401,1,HGNC_symbol,False
TKTL1,P51854,1,HGNC_symbol,True
TKTL2,Q9H0I9,1,HGNC_symbol,True
TLCD1,Q96CP7,1,HGNC_symbol,True
TLCD2,A6NGC4,1,HGNC_symbol,True
TLCD3A,Q8TBR7,1,HGNC_symbol,False
TLCD3B,Q71RH2,1,HGNC_symbol,False
TLCD4,Q96MV1,1,HGNC_symbol,True
TLCD5,Q6ZRR5,1,HGNC_symbol,True
TLDC1,57707,5,STRING_alias,False
TLDC2,A0PJX2,1,HGNC_symbol,True
TLE1,Q04724,1,HGNC_symbol,True
TLE1P1,,0,unmapped,False
TLE2,Q04725,1,HGNC_symbol,True
TLE3,Q04726,1,HGNC_symbol,False
TLE4,Q04727,1,HGNC_symbol,True
TLE5,Q08117,1,HGNC_symbol,False
TLE6,Q9H808,1,HGNC_symbol,True
TLE7,A0A1W2PR48,1,HGNC_symbol,True
TLK1,Q9UKI8,1,HGNC_symbol,True
TLK1P1,,0,unmapped,False
TLK2,Q86UE8,1,HGNC_symbol,False
TLK2P1,,0,unmapped,False
TLL1,O43897,1,HGNC_symbol,False
TLL2,Q9Y6L7,1,HGNC_symbol,True
TLN1,Q9Y490,1,HGNC_symbol,False
TLN2,Q9Y4G6,1,HGNC_symbol,False
TLNRD1,Q9H1K6,1,HGNC_symbol,False
TLR1,Q15399,1,HGNC_symbol,False
TLR10,Q9BXR5,1,HGNC_symbol,False
TLR2,O60603,1,HGNC_symbol,False
TLR3,O15455,1,HGNC_symbol,False
TLR4,O00206,1,HGNC_symbol,False
TLR5,O60602,1,HGNC_symbol,False
TLR6,Q9Y2C9,1,HGNC_symbol,True
TLR7,Q9NYK1,1,HGNC_symbol,False
TLR8,Q9NR97,1,HGNC_symbol,False
TLR8-AS1,,0,unmapped,False
TLR9,Q9NR96,1,HGNC_symbol,False
TLX1,P31314,1,HGNC_symbol,True
TLX2,O43763,1,HGNC_symbol,True
TLX3,O43711,1,HGNC_symbol,False
TM2D1,Q9BX74,1,HGNC_symbol,False
TM2D2,Q9BX73,1,HGNC_symbol,True
TM2D3,Q9BRN9,1,HGNC_symbol,True
TM4SF1,P30408,1,HGNC_symbol,False
TM4SF18,Q96CE8,1,HGNC_symbol,False
TM4SF19,Q96DZ7,1,HGNC_symbol,True
TM4SF19-AS1,,0,unmapped,False
TM4SF20,Q53R12,1,HGNC_symbol,False
TM4SF4,P48230,1,HGNC_symbol,False
TM4SF5,O14894,1,HGNC_symbol,False
TM6SF1,Q9BZW5,1,HGNC_symbol,False
TM6SF2,Q9BZW4,1,HGNC_symbol,False
TM7SF2,O76062,1,HGNC_symbol,False
TM7SF3,Q9NS93,1,HGNC_symbol,False
TM9SF1,O15321,1,HGNC_symbol,False
TM9SF2,Q99805,1,HGNC_symbol,False
TM9SF3,Q9HD45,1,HGNC_symbol,True
TM9SF4,Q92544,1,HGNC_symbol,False
TMA16,Q96EY4,1,HGNC_symbol,True
TMA7,Q9Y2S6,1,HGNC_symbol,False
TMA7B,A0A024R1R8,1,HGNC_symbol,False
TMBIM1,Q969X1,1,HGNC_symbol,True
TMBIM4,Q9HC24,1,HGNC_symbol,False
TMBIM6,P55061,1,HGNC_symbol,False
TMC1,Q8TDI8,1,HGNC_symbol,True
TMC2,Q8TDI7,1,HGNC_symbol,False
TMC3,Q7Z5M5,1,HGNC_symbol,False
TMC4,Q7Z404,1,HGNC_symbol,True
TMC5,Q6UXY8,1,HGNC_symbol,True
TMC6,Q7Z403,1,HGNC_symbol,True
TMC7,Q7Z402,1,HGNC_symbol,True
TMC8,Q8IU68,1,HGNC_symbol,False
TMCC1,O94876,1,HGNC_symbol,True
TMCC1-AS1,,0,unmapped,False
TMCC2,O75069,1,HGNC_symbol,True
