edge_id,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,source_uniprot,target_uniprot,delta,abs_delta,is_top_decile,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_support,refusal_reason
1080::14-3-3 protein zeta/delta::ppi,1080,14-3-3 protein zeta/delta,ppi,CFTR,YWHAZ,P13569,A8K1N0,0.03125,0.03125,False,-0.747425546286888,0.8296529968454258,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3BYH::ppi,1080,3BYH,ppi,CFTR,ACTB,P13569,P02570,0.03125,0.03125,False,-0.6131741344683388,0.6063926940639269,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::10134::ppi,1080,10134,ppi,CFTR,BCAP31,P13569,B3KQ79,0.03125,0.03125,False,-0.2331718772063072,0.0986301369863013,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2V90::ppi,1080,2V90,ppi,CFTR,PDZD3,P13569,Q86UT5,0.03125,0.03125,False,-0.1302114606151571,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::1FXY::ppi,1080,1FXY,ppi,CFTR,PRSS1,P13569,A1A509,0.03125,0.03125,False,0.0390558648642208,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::375611::ppi,1080,375611,ppi,CFTR,SLC26A5,P13569,P58743,0.03125,0.03125,False,-0.0199888010268382,0.0036529680365296,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3856::ppi,1080,3856,ppi,CFTR,KRT8,P13569,A8K4H3,0.03125,0.03125,False,-0.716314313159454,0.7949526813880127,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.14.1::ppi,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,B2R8M7,B7Z8Z3,0.0,0.0,False,0.0475201816635451,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.14.80::ppi,1.14.13.-,1.14.14.80,ppi,CYP26B1,CYP4A11,B2R8M7,Q02928,0.0,0.0,False,0.0786148245195524,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::3DWD::ppi,2B6H,3DWD,ppi,ARF5,ARFGAP1,P26437,B7Z3U0,0.0,0.0,False,0.0359808414955564,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3758::ppi,1080,3758,ppi,CFTR,KCNJ1,P13569,B2RMR4,0.0,0.0,False,0.1445632303690295,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2.7.11.11::ppi,1080,2.7.11.11,ppi,CFTR,PRKX,P13569,P51817,0.0,0.0,False,0.0741980818806826,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::1601::ppi,1080,1601,ppi,CFTR,DAB2,P13569,A6NES5,0.0,0.0,False,0.0796150193255309,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::6340::ppi,1080,6340,ppi,CFTR,SCNN1G,P13569,P51170,0.0,0.0,False,-0.0021999326328931,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2LO1::ppi,1080,2LO1,ppi,CFTR,DNAJA1,P13569,P31689,0.0,0.0,False,-0.4185058781166157,0.3561643835616438,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2UV4::ppi,1080,2UV4,ppi,CFTR,PRKAG1,P13569,B4DDT7,0.0,0.0,False,-0.2639766352118026,0.0474885844748858,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::1HDJ::ppi,1080,1HDJ,ppi,CFTR,DNAJB1,P13569,B4DX52,0.0,0.0,False,-0.1273380209349984,0.0127853881278538,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::158::ppi,1N1A,158,ppi,FKBP4,ADSL,D3DUQ1,B0QY76,0.0,0.0,False,-0.818167541822777,0.7041095890410959,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1.14.11.18::ppi,1N1A,1.14.11.18,ppi,FKBP4,PHYH,D3DUQ1,A8MTS8,0.0,0.0,False,0.007488074561233,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::11140::ppi,1N1A,11140,ppi,FKBP4,CDC37,D3DUQ1,Q16543,0.0,0.0,False,-1.3080069133968464,0.9899543378995432,True,False,no_drug_target_evidence
1N1A::3308::ppi,1N1A,3308,ppi,FKBP4,HSPA4,D3DUQ1,O95756,0.0,0.0,False,-0.0111037019733407,0.0045662100456621,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::11316::ppi,2B6H,11316,ppi,ARF5,COPE,P26437,A6NE29,0.0,0.0,False,-1.3281554736241767,0.989041095890411,True,False,no_drug_target_evidence
1JUQ::1E6F::ppi,1JUQ,1E6F,ppi,M6PR,IGF2R,A8K528,P11717,0.0,0.0,False,0.0819061418953271,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::10598::ppi,1N1A,10598,ppi,FKBP4,AHSA1,D3DUQ1,B2R9L2,0.0,0.0,False,-0.0531452838254054,0.0027397260273972,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3312::ppi,1080,3312,ppi,CFTR,HSPA8,P13569,P11142,0.0,0.0,False,-0.7543285969387548,0.8328767123287671,False,True,downstream_gene_not_common_essential
1080::4CFE::ppi,1080,4CFE,ppi,CFTR,PRKAG1,P13569,B4DDT7,0.0,0.0,False,-0.2639766352118026,0.0474885844748858,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2.3.2.27::ppi,1080,2.3.2.27,ppi,CFTR,UBR7,P13569,Q86U21,0.0,0.0,False,0.030208743849316,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
6405::1KEX::ppi,6405,1KEX,ppi,SEMA3F,NRP1,C9JQ85,B0LPG9,0.0,0.0,False,0.0883356849756243,0.0,False,True,downstream_gene_not_common_essential
2.1.1.320::509::ppi,2.1.1.320,509,ppi,NDUFAF7,ATP5F1C,Q7L592,A8KA31,0.0,0.0,False,-0.5444478363545491,0.5570776255707762,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.2.1.36::ppi,1.14.13.-,1.2.1.36,ppi,CYP26B1,ALDH1A2,B2R8M7,B3KY52,0.0,0.0,False,-0.0188002575009431,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
6405::1UEN::ppi,6405,1UEN,ppi,SEMA3F,NRCAM,C9JQ85,A4D0S3,0.0,0.0,False,0.0062351088360451,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1ZRH::10090::ppi,1ZRH,10090,ppi,HS3ST1,UST,B3KUA6,B2RCX6,0.0,0.0,False,0.1308628583720109,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::2.4.1.17::ppi,1.14.13.-,2.4.1.17,ppi,CYP26B1,UGT2A3,B2R8M7,Q6UWM9,0.0,0.0,False,-0.1186865617062967,0.0036529680365296,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::339345::ppi,1.14.13.-,339345,ppi,CYP26B1,NANOS2,B2R8M7,P60321,0.0,0.0,False,-0.0425422808793264,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::1.6.99.3::ppi,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,Q7L592,B3KRI2,0.0,0.0,False,-0.2789829149445919,0.1525114155251141,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
