cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
13948,immune_escape,0.27308577,0.2493582,0.23299706,0.27308577,0.24455899
13949,immune_escape,0.27125266,0.249059,0.23492074,0.27125266,0.24476756
13950,immune_escape,0.27143544,0.24936661,0.23452093,0.27143544,0.24467704
13951,immune_escape,0.2713328,0.24903783,0.23487912,0.2713328,0.24475034
13952,immune_escape,0.2700029,0.24913312,0.23597594,0.2700029,0.2448881
13953,immune_escape,0.2715078,0.24899462,0.2347845,0.2715078,0.24471302
13954,immune_escape,0.27129105,0.2493401,0.23468624,0.27129105,0.24468264
13955,immune_escape,0.2715104,0.24868461,0.2353881,0.2715104,0.24441689
13956,immune_escape,0.27211514,0.24913098,0.23412736,0.27211514,0.2446265
13957,immune_escape,0.2717722,0.24904904,0.23451072,0.2717722,0.24466807
13958,immune_escape,0.26884505,0.24767949,0.23944856,0.26884505,0.24402684
13959,immune_escape,0.27018636,0.24909097,0.23586214,0.27018636,0.24486054
13960,immune_escape,0.27139628,0.24902172,0.23484527,0.27139628,0.24473675
13961,immune_escape,0.26932847,0.2500152,0.2351965,0.26932847,0.24545981
13962,immune_escape,0.27131504,0.2493884,0.23461461,0.27131504,0.24468201
13963,immune_escape,0.27004734,0.249118,0.23594627,0.27004734,0.24488838
13964,immune_escape,0.27073887,0.24902545,0.23552611,0.27073887,0.2447095
13965,immune_escape,0.27142605,0.24901436,0.2348292,0.27142605,0.24473044
13966,immune_escape,0.2716909,0.2492892,0.23443325,0.2716909,0.24458659
13967,immune_escape,0.27150497,0.2489953,0.23478606,0.27150497,0.24471363
13968,immune_escape,0.27010894,0.24910432,0.23590876,0.27010894,0.244878
13969,immune_escape,0.27130172,0.24947856,0.23445335,0.27130172,0.24476632
13970,immune_escape,0.2701441,0.24909882,0.2358884,0.2701441,0.24486874
13971,immune_escape,0.27162582,0.24936198,0.23427771,0.27162582,0.24473445
13972,immune_escape,0.2718694,0.24925676,0.23418123,0.2718694,0.2446926
13973,immune_escape,0.2700943,0.24911012,0.23591942,0.2700943,0.24487619
13974,immune_escape,0.27063042,0.2490361,0.2356083,0.27063042,0.24472514
13975,immune_escape,0.27186882,0.24919784,0.23425102,0.27186882,0.24468228
13976,immune_escape,0.27022034,0.24908516,0.23584053,0.27022034,0.24485397
13977,immune_escape,0.27131507,0.24940668,0.23459616,0.27131507,0.2446821
13978,immune_escape,0.27135596,0.24935009,0.23461396,0.27135596,0.24467999
13979,immune_escape,0.27131626,0.24904208,0.23488775,0.27131626,0.24475382
13980,immune_escape,0.27166846,0.24908417,0.23457335,0.27166846,0.244674
13981,immune_escape,0.2691958,0.24797241,0.23856002,0.2691958,0.24427183
13982,immune_escape,0.27207527,0.24855642,0.2350981,0.27207527,0.24427028
13983,immune_escape,0.27205908,0.2491868,0.2340852,0.27205908,0.24466883
13984,immune_escape,0.27190307,0.24921371,0.23420028,0.27190307,0.24468286
13985,immune_escape,0.27147907,0.2490015,0.23480031,0.27147907,0.24471918
13986,immune_escape,0.26947376,0.24768281,0.23885489,0.26947376,0.24398853
13987,immune_escape,0.27096874,0.2486095,0.23603801,0.27096874,0.24438374
