2026-04-11 00:24:59 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:59 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 23/200 — train_loss=1.1302 val_loss=1.2189 recon=0.8454 kl=0.3236 kl_weight=0.8800
2026-04-11 00:25:00 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:01 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 24/200 — train_loss=1.1154 val_loss=1.2200 recon=0.8322 kl=0.3079 kl_weight=0.9200
2026-04-11 00:25:01 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 25/200 — train_loss=1.0865 val_loss=1.1970 recon=0.7902 kl=0.3087 kl_weight=0.9600
2026-04-11 00:25:02 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:02 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 26/200 — train_loss=1.0866 val_loss=1.1780 recon=0.7946 kl=0.2920 kl_weight=1.0000
2026-04-11 00:25:03 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:04 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 27/200 — train_loss=1.0541 val_loss=1.1596 recon=0.7750 kl=0.2791 kl_weight=1.0000
2026-04-11 00:25:05 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:05 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 28/200 — train_loss=1.0374 val_loss=1.1412 recon=0.7851 kl=0.2523 kl_weight=1.0000
2026-04-11 00:25:06 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:06 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 29/200 — train_loss=1.0487 val_loss=1.1297 recon=0.8045 kl=0.2442 kl_weight=1.0000
2026-04-11 00:25:07 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:08 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 30/200 — train_loss=1.0051 val_loss=1.1179 recon=0.7667 kl=0.2384 kl_weight=1.0000
2026-04-11 00:25:09 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:09 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 31/200 — train_loss=0.9678 val_loss=1.1041 recon=0.7428 kl=0.2250 kl_weight=1.0000
2026-04-11 00:25:10 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:10 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 32/200 — train_loss=0.9641 val_loss=1.0943 recon=0.7385 kl=0.2256 kl_weight=1.0000
2026-04-11 00:25:11 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:12 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 33/200 — train_loss=0.9672 val_loss=1.0794 recon=0.7446 kl=0.2226 kl_weight=1.0000
2026-04-11 00:25:13 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:13 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 34/200 — train_loss=0.9449 val_loss=1.0705 recon=0.7327 kl=0.2123 kl_weight=1.0000
2026-04-11 00:25:14 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:14 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 35/200 — train_loss=0.9268 val_loss=1.0724 recon=0.7206 kl=0.2061 kl_weight=1.0000
2026-04-11 00:25:15 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 36/200 — train_loss=0.9230 val_loss=1.0726 recon=0.7183 kl=0.2047 kl_weight=1.0000
2026-04-11 00:25:15 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 37/200 — train_loss=0.9173 val_loss=1.0695 recon=0.7151 kl=0.2022 kl_weight=1.0000
2026-04-11 00:25:16 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:16 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 38/200 — train_loss=0.9173 val_loss=1.0626 recon=0.7136 kl=0.2037 kl_weight=1.0000
